ID, I try to investigate an issue with others to find a solution acceptable to us, I generally try to satisfy the needs of others,"  I attempt to avoid being ""on the spot"" and try to keep my conflict with others to myself", I try to integrate my ideas with those of others to come up with a decision jointly, I give some to get some, I try to work with others to find solutions to a problem which satisfy our expectations, I usually avoid open discussion of my differences with others, I usually hold on to my solution to a problem, I try to find a middle course to resolve an impasse, I use my influence to get my ideas accepted     , I use my authority to make a decision in my favour, I usually accommodate the wishes of others, I give in to the wishes of others, I win some and I lose some, I exchange accurate information with others to solve a problem together, I sometimes help others to make decision in their favour, I usually allow concessions to others, I argue my case with others to show the merits of my position, I try to play down our differences to reach a compromise, I usually propose a middle ground for breaking deadlocks, I negotiate with others so that a compromise can be reached, I try to stay away from disagreement with others, I avoid an encounter with others, I use my expertise to make a decision in my favour, I often go along with the suggestions of others," I use ""give and take"" so that a compromise can be made", I am generally firm in pursuing my side of the issue, I try to bring all our concerns out in the open so that the issues can be resolved in the best possible way, I collaborate with others to come up with decisions acceptable to us, I try to satisfy the expectations of others, I sometimes use my power to win a competitive situation, I try to keep my disagreement with others to myself in order to avoid hard feelings, I try to avoid unpleasant exchanges with others, I generally avoid an argument with others, I try to work with others for a proper understanding of a problem,compromising,avoiding,obliging,dominating,integrating
F01-C,2,2,-1,1,0,1,-1,0,1,1,0,1,-1,1,1,1,-1,1,0,0,1,1,1,1,0,1,2,1,1,1,0,1,2,0,2,4,3,3,5,9
F01-R,1,2,1,2,0,1,-2,1,-1,2,1,1,-1,1,2,0,0,2,0,-1,1,-2,-2,2,1,1,1,-1,2,2,2,-1,1,-2,1,1,-7,5,11,8
F02-C,1,1,2,1,0,2,1,2,1,-1,-2,1,0,1,2,1,1,1,1,1,1,2,-2,1,-1,1,1,-1,2,2,0,1,2,2,2,6,8,5,2,9
F02-R,2,1,2,1,0,1,2,1,1,-1,0,1,1,2,2,1,1,1,2,0,1,1,1,1,1,0,1,-1,1,2,-2,2,2,1,2,6,11,8,1,8
F03-R,2,1,1,1,0,1,2,1,1,1,-1,1,-1,1,2,1,0,2,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,2,6,8,4,2,10
F03-C,1,1,2,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,7,8,7,0,7
F04-R,1,1,1,2,1,2,0,-2,1,1,-1,1,-1,1,2,0,0,2,0,0,1,0,-2,1,0,0,1,1,2,1,0,-1,-1,0,2,4,-3,2,2,12
F06-R,1,2,1,2,2,1,0,1,1,1,-2,2,1,2,1,1,1,1,1,2,0,2,-2,1,1,2,-2,0,2,2,-2,1,2,2,2,10,6,10,-2,9
F05-C,1,2,-1,2,2,1,-2,-1,1,2,1,1,0,-1,1,0,1,1,-1,1,1,-1,-1,2,1,1,2,2,1,1,2,-1,0,0,1,4,-6,6,9,9
F04-C,1,0,1,1,0,1,1,1,2,0,-1,2,-1,0,1,1,2,1,1,1,1,1,-1,1,1,0,1,2,1,2,-2,-1,2,-1,1,5,2,7,1,8
F05-R,1,1,2,1,0,2,1,0,1,0,0,1,1,2,2,1,2,2,1,1,2,0,0,2,1,-1,1,2,0,0,-1,1,2,1,1,6,7,7,4,9
F08-C,1,2,1,2,0,2,1,0,2,1,0,2,0,2,1,1,1,1,1,2,1,2,-1,0,1,1,1,1,1,1,0,0,1,1,1,9,5,8,3,9
F06-C,1,2,2,1,-2,1,2,0,1,-1,-1,1,0,0,1,2,1,1,1,1,1,-1,-1,0,2,1,0,2,1,2,-1,1,1,1,2,3,5,10,-2,9
F07-R,2,2,2,2,1,2,0,0,2,1,0,1,1,2,2,2,1,1,1,2,2,1,1,1,0,1,1,2,2,1,1,0,1,2,2,11,7,8,5,14
F08-R,1,2,2,1,2,1,1,-2,1,0,-2,2,1,2,2,1,1,0,1,1,1,2,2,-1,1,0,-1,1,2,2,-2,1,2,2,2,8,12,10,-8,10
F07-C,1,1,2,1,1,1,1,-1,2,-2,-2,1,1,0,-1,2,1,1,2,2,2,2,2,-2,1,1,-1,1,1,1,-2,2,2,1,1,10,12,8,-9,5
F09-C,2,2,-1,1,1,2,-2,0,1,1,-1,2,2,2,2,2,1,1,2,1,2,-1,1,0,-1,1,1,1,1,2,-1,1,2,1,2,10,1,10,1,11
F09-R,2,0,-1,2,0,0,-2,-1,1,1,0,1,0,2,2,0,0,2,-1,0,1,-2,0,1,1,1,1,2,1,0,0,-1,-1,-1,2,4,-8,2,4,11
F10-R,1,1,1,1,2,2,-1,1,1,2,-1,1,0,2,1,1,1,1,2,1,1,2,-2,1,1,1,1,2,2,2,0,1,1,1,2,10,3,7,5,11
F11-C,1,2,2,1,-1,0,1,-1,1,1,1,1,1,2,2,1,1,2,0,1,1,2,2,1,0,1,0,0,1,1,1,1,2,2,2,5,12,7,5,7
F10-C,1,1,-1,1,-1,1,-1,1,0,0,-1,1,-1,0,2,1,1,1,0,1,1,1,-1,1,1,1,0,1,2,1,-1,1,-1,0,2,2,-2,5,1,10
F11-R,2,2,2,2,1,1,2,1,1,-1,-2,2,2,2,2,2,2,2,2,1,1,2,1,0,1,1,0,-1,1,2,-2,2,2,2,2,9,13,13,-2,9
F13-C,1,2,2,1,0,1,2,1,2,-2,-2,2,1,1,0,1,0,-1,2,2,2,2,1,0,1,1,-2,0,1,2,-2,2,2,2,0,10,13,9,-8,4
F12-C,2,0,2,2,2,2,1,2,2,-2,-2,1,1,2,2,1,1,1,0,1,1,2,-1,-2,-1,1,0,1,2,1,-2,1,1,2,2,9,8,4,-5,13
F15-C,1,0,1,1,0,1,1,1,1,-1,-2,0,-1,1,2,0,1,2,1,1,2,1,1,1,0,1,1,2,2,0,-1,1,2,1,2,7,8,0,1,11
F15-R,1,2,2,0,1,1,-1,-1,0,1,0,1,1,2,2,-1,1,1,0,1,2,2,2,2,1,1,-1,-1,1,1,1,2,2,2,1,7,11,6,3,5
F16-C,-1,1,2,1,2,1,1,-2,1,-1,0,2,0,1,1,2,1,1,0,1,2,-1,-1,0,1,2,1,1,1,2,0,1,1,1,1,9,4,9,-1,5
F12-R,1,2,0,2,-1,1,-2,0,2,0,0,2,1,0,1,1,2,1,0,1,1,-1,-2,0,0,1,0,1,1,2,0,-1,-1,-1,2,4,-8,10,1,9
F20-R,-1,1,1,2,1,1,-1,0,1,-1,0,1,0,2,2,1,0,0,1,0,1,2,2,1,1,1,1,0,1,0,1,1,2,2,1,7,9,4,2,6
F17-C,1,1,-1,1,1,2,-1,-1,0,0,0,0,1,1,2,1,1,1,0,0,1,-1,0,1,0,0,1,1,1,0,1,-1,0,0,1,3,-4,4,3,9
F13-R,1,1,1,1,0,1,1,-1,0,1,0,1,0,2,1,0,0,1,2,0,1,2,1,0,0,1,0,-1,1,0,0,1,2,1,2,6,9,2,1,6
F19-C,1,1,2,2,2,2,0,0,1,1,-1,0,-1,1,1,1,1,0,1,2,1,2,1,0,-1,1,1,1,2,0,1,1,2,2,1,9,10,1,2,10
F14-C,2,1,1,2,2,2,1,0,2,1,0,1,1,2,2,1,0,2,-1,1,1,-1,1,1,1,2,1,-1,1,1,1,-1,-1,-1,1,9,-1,6,6,9
F14-R,1,2,2,2,1,2,2,1,2,-1,-2,2,0,1,1,2,2,1,1,2,1,2,1,-1,0,1,1,2,2,2,-1,2,2,1,2,9,12,10,-2,12
F18-R,1,1,2,0,-1,1,1,0,2,0,-2,2,0,1,0,2,0,0,2,2,2,2,-1,0,0,2,1,2,2,1,1,1,1,2,2,10,8,6,0,8
F16-R,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,1,1,2,-1,1,1,1,1,0,1,1,1,2,2,2,1,6,9,5,8,4
F17-R,1,1,1,-1,-1,0,-1,1,1,2,2,1,-1,0,1,1,-1,-1,1,1,1,2,-1,2,-1,1,2,2,1,-1,2,1,1,1,1,4,4,-1,10,5
F18-C,1,-1,0,-1,0,0,-1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,-1,-1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,0,5,-6,-2,4,1
F19-R,1,1,1,1,0,1,-1,1,1,-2,-2,1,-2,1,2,1,-1,1,-1,1,1,-1,-1,1,-1,1,-2,1,1,1,1,-1,2,-1,1,4,-2,0,-2,8
F20-C,2,2,2,1,2,0,-1,0,1,-1,0,1,1,2,2,0,0,2,0,1,1,1,-1,2,2,1,-1,2,2,0,0,1,1,1,2,8,4,6,2,11
F21-C,0,1,-1,1,0,1,-1,1,-1,0,-2,-1,-2,1,1,0,1,2,-1,-1,1,-1,-1,1,-2,0,1,1,-1,-2,-2,-1,-1,-1,1,-1,-7,-5,1,4
F21-R,2,1,0,2,-1,2,0,-1,1,0,0,1,1,0,2,1,2,2,0,2,1,1,1,1,0,0,-1,0,1,0,-1,1,1,0,1,3,4,6,0,10
F23-C,2,2,-1,0,1,2,0,1,1,0,-2,1,1,-1,1,2,1,-1,0,1,1,2,2,1,1,1,0,1,1,2,-1,0,2,2,1,4,7,10,-2,8
F23-R,1,1,0,1,1,1,-2,1,1,1,1,1,0,1,1,1,0,1,1,2,2,2,-2,1,1,1,0,1,1,2,1,0,2,2,2,9,2,6,6,8
F22-C,1,2,2,1,1,2,0,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,7,8,9,7,10
F22-R,1,2,2,1,0,2,-1,0,1,1,-2,2,0,0,2,1,-1,-2,0,1,1,1,1,1,0,1,1,2,1,1,-1,1,2,1,1,4,7,5,-2,10
F24-C,1,1,-1,0,1,1,-1,0,1,1,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,1,-1,-1,1,1,0,1,1,0,1,8,0,5,1,4
F27-R,1,2,2,-1,0,1,2,1,1,-1,-1,2,2,1,1,1,1,1,2,1,1,1,0,1,1,0,-1,1,1,2,1,2,2,2,1,6,11,11,1,5
F25-C,1,2,0,0,1,0,-1,-1,1,-2,-2,1,1,1,1,2,-1,-2,0,0,0,1,1,-2,1,1,1,-1,1,1,-2,1,1,1,1,4,4,7,-10,3
F29-C,1,1,1,1,-1,1,0,1,0,1,-1,1,1,1,1,1,1,1,0,0,1,0,-1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,6,5,7
F26-R,2,2,-2,2,1,2,-2,0,2,0,-2,2,0,1,2,-1,1,1,1,1,1,1,-1,0,-1,1,1,2,1,1,-1,1,1,1,1,8,-1,4,-1,12
F25-R,0,1,1,1,1,1,0,0,2,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,7,5,4,2,6
F31-C,1,2,0,1,1,1,-1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,-1,-1,-1,1,1,1,1,1,2,1,1,1,1,1,8,0,10,6,8
F26-C,1,2,-1,1,1,1,-2,1,0,1,0,-1,-1,2,1,1,-1,2,-1,0,1,-2,-2,-1,1,-1,2,1,1,-1,1,-1,-2,-2,0,2,-12,0,6,6
F27-C,1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,4,7
F31-R,1,1,1,1,2,1,-1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,-1,0,1,1,0,1,1,2,1,-1,1,1,1,8,0,6,4,7
F30-C,2,2,1,2,1,2,-1,0,0,1,-2,2,1,2,2,1,2,0,2,2,2,1,-1,0,1,2,1,2,2,2,1,2,2,2,2,11,6,11,1,14
F28-C,2,1,-2,2,2,1,-1,1,-1,1,1,0,-2,2,1,2,0,2,-2,0,1,-2,-2,2,-2,1,2,1,1,1,2,0,-1,-2,1,3,-10,0,11,9
F28-R,1,1,0,2,1,1,0,0,1,-2,-2,1,1,-2,0,0,-1,1,1,1,1,1,2,-2,1,0,1,1,1,-1,-2,1,1,1,1,3,6,2,-6,7
F30-R,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,1,0,0,-1,1,1,0,0,1,1,0,0,-1,-1,1,4,-2,7,0,6
F29-R,1,1,0,1,1,1,0,-1,1,0,-1,1,1,1,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1,1,1,7,2,7,1,8
F32-C,2,2,2,-1,2,2,1,1,2,1,-1,2,1,1,2,1,1,-1,1,1,1,2,2,-1,1,1,-1,-1,2,2,-1,2,2,2,1,9,13,10,-3,7
F32-R,0,1,-1,0,0,1,-1,-1,0,0,0,1,0,1,1,0,1,0,0,0,1,2,1,1,1,1,-1,-1,0,1,-1,1,2,1,1,3,5,5,-2,2
F24-R,2,2,1,2,2,2,2,1,2,0,-2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,-1,2,2,2,1,2,14,10,9,6,14
F33-C,1,1,2,1,0,1,-1,-1,1,1,0,1,0,1,2,0,1,2,0,0,1,1,-1,0,0,-1,0,-1,1,1,0,1,1,2,1,2,5,4,2,6
F33-R,1,1,2,1,0,1,1,-1,1,0,-1,1,0,1,1,0,0,-1,1,2,2,0,-1,1,1,1,1,1,1,2,2,1,1,0,1,8,4,5,1,7
F34-C,2,2,1,2,1,2,-1,-1,2,1,1,2,1,1,2,1,1,2,-1,1,2,1,1,2,-2,1,2,2,2,-1,1,1,1,1,2,7,5,4,8,14
F34-R,0,1,1,1,1,0,2,1,0,-2,-2,1,0,1,1,1,0,1,1,1,2,1,1,0,-1,1,1,0,1,1,-2,1,2,0,1,7,8,3,-3,4
F35-C,1,1,-1,0,-1,1,-1,1,0,1,1,1,1,1,0,-1,0,1,1,2,1,-2,-1,2,1,1,1,2,1,0,0,-1,0,0,1,5,-6,3,7,6
F35-R,1,2,1,1,0,1,-1,-1,1,0,0,1,-1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,2,2,6,7,5,3,8
F36-C,2,1,-1,2,1,2,0,-1,2,-1,-2,1,-1,1,2,1,1,1,1,2,2,-1,-1,1,1,2,0,2,2,0,-1,1,1,1,2,11,0,4,-3,14
F36-R,1,1,0,2,1,0,1,1,2,1,1,2,-1,1,2,2,2,0,2,2,2,2,2,1,-1,1,1,1,1,-1,2,-1,2,2,2,11,8,4,7,9
F37-R,2,0,2,1,1,1,-1,0,1,-1,-2,1,0,1,1,1,1,-2,-1,1,0,2,1,0,1,2,1,2,1,-1,0,2,2,2,2,5,10,3,-4,10
F37-C,-1,1,-1,1,2,1,-1,2,-1,-1,1,0,0,1,-1,2,-1,1,1,-1,1,1,-1,1,-1,0,1,2,0,-1,1,0,0,1,-1,3,-1,0,6,1
F38-R,1,0,1,2,0,1,0,-1,2,-1,-1,2,1,0,1,1,1,0,1,2,2,1,2,2,1,1,2,2,0,1,1,1,2,2,2,8,9,7,2,9
F38-C,0,1,1,1,2,1,1,1,2,1,-1,2,1,1,2,2,1,1,1,-1,-1,1,0,2,1,1,-1,1,1,1,1,0,1,1,1,5,5,9,4,7
F39-C,1,1,2,-1,-1,1,2,-1,1,-1,-2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,0,1,1,2,1,-1,1,2,1,1,6,10,8,-1,6
F39-R,2,2,2,1,1,2,2,-1,1,1,-2,1,1,2,2,0,1,1,2,1,2,2,1,-1,1,1,0,1,2,2,-1,2,2,2,2,10,13,8,-3,12
F40-C,2,1,1,1,2,1,2,-2,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,8,10,8,2,10
F40-R,1,1,1,0,1,1,-1,-1,2,0,0,1,0,1,1,1,1,1,2,1,1,-1,-2,2,-1,1,1,1,1,2,0,-2,-1,-1,1,9,-7,5,3,6
F41-R,2,2,2,1,2,2,-1,-1,2,1,1,1,0,1,2,1,2,2,2,2,2,-1,-1,1,1,1,1,1,2,2,1,0,2,0,2,12,1,9,6,12
F41-C,2,2,1,2,1,2,1,0,1,0,-2,1,0,2,2,2,2,0,1,2,2,1,0,0,-1,2,1,1,2,1,1,-1,0,1,2,11,3,7,0,13
F42-R,1,0,-1,1,0,1,-1,-1,-2,0,1,0,-2,1,2,2,-1,2,-2,0,0,-2,-1,2,-1,0,2,2,1,-1,2,-1,-1,-1,1,-3,-8,-3,8,9
F42-C,1,2,2,2,0,2,0,1,1,0,-1,1,-1,2,2,1,1,2,2,2,2,2,-2,1,-1,1,1,2,2,2,1,1,2,2,2,10,7,5,5,13
F43-R,-1,2,1,1,-1,1,0,1,2,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,1,0,2,-1,2,2,1,0,2,2,1,7,9,7,11,3
F43-C,1,2,1,1,1,1,-1,0,0,1,-1,1,0,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,2,2,2,6,6,4,2,8
F44-C,2,1,2,1,1,1,-1,-1,1,-2,-2,1,1,2,2,1,1,2,1,1,1,-1,-1,-2,2,1,1,1,2,1,-2,-2,0,-1,2,8,-4,8,-6,11
F44-R,1,1,-1,0,1,1,0,-1,0,1,1,0,-1,1,1,0,-1,1,-1,0,1,0,-1,1,-1,-1,1,0,1,0,1,0,0,0,1,1,-2,-2,5,5
F45-R,2,0,-1,1,0,1,-1,1,0,0,-1,1,1,1,0,1,0,1,1,1,0,-1,-1,0,1,0,1,1,0,1,0,-1,-1,-1,1,3,-7,5,2,6
F45-C,-1,1,2,1,1,1,2,-1,2,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,8,12,6,4,5
F46-C,2,2,-1,2,0,2,-1,-2,2,-2,-2,2,1,0,2,0,-1,1,0,-1,2,2,-1,0,1,-1,-1,1,1,2,-2,-1,1,0,2,2,-1,7,-8,12
F46-R,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,-1,-1,0,0,1,0,1,1,1,0,1,1,0,1,5,2,4,1,4
F47-C,2,2,2,1,-2,2,1,-1,2,0,0,1,0,2,2,0,2,0,2,2,2,2,2,1,1,1,2,2,2,2,0,1,2,2,2,9,12,8,2,13
F47-R,2,2,1,2,-2,1,-1,0,2,-2,-2,1,-1,1,2,1,1,1,0,2,2,-1,-1,0,0,1,1,2,2,2,-1,-1,1,1,2,6,-1,6,-3,13
F48-R,1,1,2,1,0,1,-1,-1,1,1,0,1,-1,1,1,1,0,1,1,-1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,3,4,7
F48-C,2,2,2,2,2,2,-1,1,1,0,0,1,0,0,2,0,2,2,0,1,1,-1,0,0,1,1,1,2,1,2,0,-1,1,-1,1,6,-1,8,4,12
F49-R,1,2,1,1,1,2,1,-1,2,1,-1,2,1,2,2,2,2,2,2,2,2,0,0,1,1,2,-1,2,2,2,1,1,1,1,2,13,5,12,2,12
F49-C,2,2,1,2,2,2,1,0,0,1,-1,1,1,1,0,1,1,0,1,0,1,1,-1,0,1,2,0,0,1,1,0,1,2,2,1,7,7,8,0,8
F50-C,1,1,1,1,0,1,-1,1,2,-2,-1,1,2,1,0,0,2,1,1,1,1,2,1,0,1,1,2,0,0,1,-2,1,1,2,1,7,7,8,-1,4
F50-R,0,-1,1,1,2,1,-1,-1,0,-2,-2,1,0,1,1,0,0,2,1,1,1,-1,-1,-2,-1,1,1,1,0,-1,-2,0,-1,1,1,7,-2,-2,-6,5
F51-R,1,-1,-2,1,1,1,-1,-1,1,-1,-1,1,-2,0,2,1,1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,0,-1,-1,-1,1,7,-8,0,-2,8
F51-C,1,2,-2,2,-2,2,0,2,2,2,2,-2,2,2,2,-2,2,2,2,-2,2,2,2,2,2,-2,2,2,2,2,2,-2,-2,-2,2,2,-4,6,14,13
F52-C,2,2,2,1,2,2,2,-1,2,-2,-2,2,1,1,1,2,2,2,1,2,2,2,2,-2,2,2,1,-1,2,2,-2,2,2,2,2,12,14,13,-6,9
F52-R,0,2,-1,2,2,2,-1,1,1,1,0,0,-1,2,2,2,0,1,1,0,0,-1,-1,0,0,1,1,2,0,1,1,-1,0,0,0,7,-5,4,5,8
F53-R,0,1,1,1,1,1,2,0,1,0,0,1,0,1,1,2,2,1,1,2,0,1,0,0,1,2,-1,2,2,1,-1,2,2,1,1,8,9,8,-1,8
F53-C,1,2,0,1,1,1,-1,1,1,1,-1,1,0,1,1,1,1,2,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,6,1,7,5,7
F54-R,1,1,2,1,1,1,2,1,1,1,1,-1,-1,0,1,1,1,2,1,2,2,2,1,1,-1,1,1,1,1,1,0,2,2,2,1,8,13,1,7,7
F54-C,1,1,1,1,1,1,0,-1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,-1,2,2,2,1,7,9,5,-1,7
F55-C,1,1,1,1,1,1,-1,0,1,0,-1,1,0,0,1,1,0,2,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,1,4,-3,5,2,7
F55-R,1,1,1,1,0,1,0,1,0,-2,-2,0,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,-1,0,1,1,-1,-1,1,1,1,4,4,5,-5,6
F56-C,-1,1,1,1,1,0,1,0,1,0,-1,1,0,1,2,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,6,7,5,1,4
F56-R,2,2,-1,1,-2,2,-2,-2,1,2,-2,2,-1,2,2,2,1,2,-1,2,2,1,-1,2,0,1,1,2,2,1,1,-1,1,1,2,5,-2,7,4,13
F57-C,1,1,-1,2,1,1,-2,-1,1,-2,-2,1,-1,0,1,0,0,2,-1,0,1,-1,-2,1,0,0,0,1,2,-1,-1,-1,-1,-1,1,2,-9,0,-3,9
F57-R,2,2,0,2,1,2,-2,-2,1,2,0,2,0,1,2,1,1,2,1,1,2,-2,-2,1,1,1,1,2,2,1,0,-2,-1,-1,2,8,-10,8,4,14
F58-R,0,1,1,1,-1,1,0,0,1,1,-1,1,-1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,4,4,3,4,6
F58-C,-1,1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,1,0,0,-1,-2,0,0,1,1,0,1,0,0,1,1,-1,1,2,-3,0,3,2
F59-R,2,2,2,1,-2,1,-1,-1,2,1,-1,2,1,-1,1,2,1,1,1,-1,1,-1,-1,2,2,0,2,-1,1,1,1,-1,2,1,1,0,1,11,5,6
F59-C,2,1,0,2,1,2,-1,0,2,-1,-2,2,1,2,2,2,1,1,1,2,2,-1,-1,1,1,2,-2,2,2,1,-1,1,0,0,1,12,-2,9,-4,13
F60-C,1,1,0,2,1,1,0,-1,2,0,-2,0,0,2,1,2,1,1,2,1,1,0,1,1,1,2,-1,1,1,1,-1,1,1,1,1,11,4,6,-3,8
F60-R,1,2,2,0,2,2,1,1,0,1,-1,2,2,2,2,1,1,0,1,1,1,2,-1,-1,2,1,-1,1,1,1,-2,2,2,2,1,8,10,11,-3,8
